id,topic,variant,question,answer,ref,source,visibility,type,weight,notes,created,modified,verified,status,tags
202,Powerplant,P2+,What is the purpose of the Fuel Flow Divider?,It distributes metered fuel flow from the Fuel Management Module to the primary and secondary side of the fuel manifold?,06-66,Training Manual,Hidden,Knowledge,0.8016455047763885,,17/06/2021,04/06/2025,,ok,fuel
203,Powerplant,P2+,What does the fuel flow divider do during start?,"The fuel flow divider routes fuel flow to the hybrid nozzles only. As the engine accelerates, fuel pressure increases and the flow divider routes fuel to the main nozzles also.The T2+ has starter injectors as well as main injectors and a preference injector",06-66,Training Manual,Hidden,,0.9973591379821299,,17/06/2021,04/06/2025,Yes,ok,fuel
204,Powerplant,P2,How does the fuel flow divider prevent accumulation of fuel in the combustion chamber after shut down?,"Residual fuel is kept in an accumulator - at next start as fuel pressure increases, a piston forces the fuel towards the manifold",06-66,Training Manual,Reveal,,0.07384057808667421,,17/06/2021,04/06/2025,,ok,fuel
205,Powerplant,P2+,What is the purpose of the Fuel Manifold?,It distributes primary (start) and secondary (main) fuel to the engine combustion chamber.It is located on the engine gas generator caseIn the T2 the analogous system is called the Fuel Valve Assembly.,06-66,Training Manual,Hidden,Knowledge,0.7339053996838629,,17/06/2021,04/06/2025,,ok,fuel
206,Powerplant,P2,Describe the arrangement of fuel nozzles?,The primary fuel manifold supplies 5 hybrid nozzles. The secondary fuel manifold supplies 7 main fuel nozzlesThe fuel nozzles are equally spaced around the combustion chamber for even fuel flow.,06-66,Training Manual,Hidden,,0.3964150599204004,,17/06/2021,04/06/2025,,ok,fuel
207,Powerplant,P2,True or false - primary fuel only flows during start up?,False - primary fuel flow from the primary nozzles remains constant during start-up and engine operation.,06-66,Training Manual,Hidden,,0.6402572225779295,,17/06/2021,04/06/2025,,ok,fuel
208,Powerplant,P2+,What does FMM stand for and what is its purpose?,Fuel Management Module - it works in conjunction with the EEC to control metered fuel flow over the entire operational range of the engine.In theTraining Manual - the equivalent T2 component would be the FMU - Fuel Metering Unit.,06-68,Training Manual,Hidden,,0.44592431141063565,,17/06/2021,04/06/2025,,ok,
209,Powerplant,P2,What are the inputs/parameters in to the FMM?,EEC signalsTwist grip angleP3 pressureNg speed,,,Hidden,,0.8145376485772432,,17/06/2021,04/06/2025,,ok,
210,Powerplant,P2,What modes does the FMM operate in?,2 basic mode:Automatic Mode - the EEC controls the tq motor which rotates the fuel metering valveManual Mode - the fuel metering valve is controlled by 3D-Cam actuated by the twist grip.,06-68,Training Manual,Hidden,,0.6527467318810523,,17/06/2021,04/06/2025,,ok,
211,Powerplant,P2+/T2+,How is torque shaft temperature compensated for?,A platinum-type temperature measurement resistor located in the Torque sensor provide compensation for variation of torque shaft temperature. The sensor is mounted in front of the reduction gearbox near the output shaft.,06-70,Training Manual,Reveal,,0.02045247983187437,,18/06/2021,04/06/2025,,ok,
212,Powerplant,P2,Describe the gas temperature measuring system?,It consists of 2 identical harnesses with 4 thermocouple elements in parallel connected to an engine mounted terminal assembly.,06-72,Training Manual,Hidden,,0.8508839663118124,,18/06/2021,04/06/2025,,ok,
213,Powerplant,P2,What is the purpose of the 2 junction boxes in the gas temperature measuring system?,They provide the signal from the 8 sensors (4 each in parallel) to the inlet temperature sensor box,06-72,Training Manual,Reveal,,0.070640976075083,,18/06/2021,04/06/2025,,ok,
214,Powerplant,P2,What is the purpose of the inlet temperature sensor box in the gas temperature measuring system?,The inlet temperature sensor box combines the T6 signals with the signal from the T1 sensor.,06-72,Training Manual,Hidden,,0.5558733204379678,,18/06/2021,04/06/2025,,ok,
215,Powerplant,P2,Where is the T1 sensor measured and where is the signal sent?,The T1 temperature is measured at the compressor air inlet thereby giving a signal proportional to engine air inlet temperature. The signals provided by the T1 and T6 sensors are sent to the EEC where the measured gas temperature (MGT) is computed.,06-72,Training Manual,Hidden,,0.7430724748410285,,18/06/2021,04/06/2025,,ok,
216,Powerplant,P2,Describe the CPDS indication for engine temperature?,"The digital TOT is sent from the EEC to the FLI (eng 1 via VEMD lane 1 and eng 2 via VEMD lane 2.In the case of 1 lane off, the respective back-up analogue value is displayed on the CAD.",06-72,Training Manual,Hidden,,0.6482749502174556,,18/06/2021,04/06/2025,,ok,
217,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 002,Aircraft starting procedures including hand signals and external panel checks etc,,Centrik,Hidden,,0.1560591422021389,,19/06/2021,04/06/2025,,ok,opc
218,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 003,Laser Incidents and actions to take. Initial response is a dynamic risk assessment to weigh up the task against the need to prosecute offenders for laser beam strike. Do not look at the laserContinue with laser goggles or abandon the taskInform ATCInform Ops CentreNVG offer protection due to a displayed image rather than actual laser light,,Centrik,Hidden,,0.4552456275559962,,19/06/2021,04/06/2025,,ok,opc
219,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 004?,Fuel Storage and management,,Centrik,Hidden,,0.7592781423591077,,19/06/2021,04/06/2025,,ok,opc
220,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 005?,Mobile Fuel Bowser,,Centrik,Hidden,,0.5014404077082872,,19/06/2021,04/06/2025,,ok,opc
221,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 006?,"Adverse weather actions;Heavy rain, thunderstorms, strong winds, snow and ice, ice clearance. Ice clearance plans are detailed for each base.",,Centrik,Reveal,,0.0117582743987441,,19/06/2021,04/06/2025,,ok,opc
222,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 007?,Bird SafeguardingBrief description of bird migration patterns and the need for risk to aircraft. Site/base specific are listed.,,Centrik,Hidden,,0.8886748855002224,,19/06/2021,04/06/2025,,ok,opc
223,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 009?,"NPAS & Airbus maintenance communications SOP, eg, during working hours, out of working hours etc.",,Centrik,Hidden,,0.37208580272272235,,19/06/2021,04/06/2025,,ok,opc
224,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 008?,Details the risk and examples of FODDetails procedures to be followed if FOD is foundThis SOP also details the requirement for the day duty crew to carry out a FOD plod. FOD damage and actions to take as a result of damage due to adverse weather is also contained here.,,Centrik,Hidden,,0.6319130826741457,,19/06/2021,04/06/2025,,ok,opc
225,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 011?,Use of Helilift,,Centrik,Hidden,,0.7816591989248991,,19/06/2021,04/06/2025,,ok,opc
226,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 013?,Driving and Use of NPAS Vehicles,,Centrik,Hidden,,0.9396902141161264,,19/06/2021,04/06/2025,,ok,opc
227,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 014?,Helicopter open door procedureSOP to be read in conjunction with Petzel Aircraft Harness and Lanyard SOPThis SOP also contains Challenge and response procedure between TFO and pilot.,,Centrik,Hidden,,0.2943163653835654,,19/06/2021,04/06/2025,,ok,opc
228,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 015?,Document controlPretty dull SOP about NPAS document management.,,Centrik,Hidden,,0.5970224803313613,,19/06/2021,04/06/2025,,ok,opc
229,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 016?,Covid and use of Skyshout,,,Hidden,,0.12109046895056964,,19/06/2021,04/06/2025,,ok,opc
230,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 017?,Building InspectionsBasically - facilities management.,,Centrik,Hidden,,0.4840357680805028,,19/06/2021,04/06/2025,,ok,opc
231,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 018?,Helicopter cleaning,,Centrik,Hidden,,0.5853916192427278,,19/06/2021,04/06/2025,,ok,opc
232,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 019?,Management of CVFDR Data post accident/incident.Under EU regulation 965/2012 it is the responsibility of the operator and the commander of the aircraft to preserve the recordings of the FDR and CVR following a reportable incident or accident until otherwise directed by the AAIB.,,Centrik,Hidden,,0.7895829225890337,,19/06/2021,04/06/2025,,ok,opc
233,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 020?,"Helmet acquirement, maintenance and disposal.",,Centrik,Hidden,,0.8598064002580941,,19/06/2021,04/06/2025,,ok,opc
234,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 021?,Evidential media,,Centrik,Hidden,,0.8332979781553149,,19/06/2021,04/06/2025,,ok,opc
235,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 022?,"Airborne DataLinkOverview of datalink, datalink channels, channel conflict and interference, national channel plan etc",,Centrik,Hidden,,0.2644740999676287,,19/06/2021,04/06/2025,,ok,opc
236,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 023?,Maintenance Check flightsFormal check flights are specified by the aircraft manufacturer and normally included in the maintenance programme. CAMSO will be informed. There are Level A and Level B check flightsNPAS pilots will rarely be required to complete a Maintenance Check Flight (MCF),,,Hidden,,0.8155628922395408,,19/06/2021,04/06/2025,,ok,opc
237,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 024?,EFB Policy Extensive guidance on the EFB and its use.,,Centrik,Hidden,Knowledge,0.8347507314756512,,19/06/2021,04/06/2025,,ok,opc
238,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 025?,CCTVSurveillance systems at the base.,,Centrik,Hidden,,0.7042793054133654,,19/06/2021,04/06/2025,,ok,opc
239,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 026?,NVIS Maintenance Repair and Control,,Centrik,Hidden,,0.7835916895419358,,19/06/2021,04/06/2025,,ok,opc
240,NPAS SOPs,P2+/T2+,What is contained in NPAS SOP 027?,Management of W&B Schedules and Updating Easyweigh,,Centrik,Hidden,,0.38956749718636274,,19/06/2021,04/06/2025,,ok,opc
241,Avionics,P2+/T2+,What aerial is showing the picture?,VOR/ILS,02-12,Training Manual,Reveal,Picture,0.00900896033272147,,21/06/2021,04/06/2025,,needs_image,if
242,Avionics,P2+/T2+,What 3 aerials are showing in this picture?,ELT - Forward (right of picture)?? - MiddleTransponder/TCAS (TBC) - Aft,02-12,Training Manual,Reveal,,0.42095919279381633,,21/06/2021,04/06/2025,,needs_image,if
243,Avionics,P2+/T2+,What 2 aerials are showing in this picture?,VHF-AM2 - UpperILS/VOR lower horizontal aerial,02-12,Training Manual,Reveal,,0.4952129069715738,,21/06/2021,04/06/2025,,needs_image,if
244,Avionics,P2+/T2+,What 2 aerials are showing in this picture?,VHF 1 - Fwd TBC ???? Aft,02-12,Training Manual,Hidden,,0.9191673793829976,,21/06/2021,04/06/2025,,needs_image,if
245,Avionics,P2+/T2+,What aerial is shown in this picture?,ILS Marker Beacon Receiver,02-12,Training Manual,Hidden,,0.7239569220691918,,21/06/2021,04/06/2025,,needs_image,if
246,Avionics,P2+/T2+,What aerial is shown in this picture?,Tac 5,02-12,Training Manual,Hidden,Picture,0.37898258958011866,,21/06/2021,04/06/2025,,needs_image,if
247,Powerplant,P2+/T2+,The aircraft is equipped with electronic engine control. What 2 acronyms are used by PW and TM respectively for this?,PW = EECTM = EECU,06-76,Training Manual,Hidden,,0.4344877768307924,,21/06/2021,04/06/2025,,ok,electrical
248,Powerplant,P2+/T2+,What does the EEC/EECU achieve in terms of fuel consumption?,It keeps fuel consumption to a minimum whilst adjusting/optimising engine power for the flight profile.,06-76,Training Manual,Hidden,,0.6444488354027271,,21/06/2021,04/06/2025,,ok,fuel
249,Powerplant,P2+/T2+,What functions of engine control do the EEC/EECU provide?,StartingGround operationFlightCPDSManual emergency controlSee 'Get more Info' for a schematic diagram and more details,06-80,Training Manual,Hidden,,0.5865806667134166,,21/06/2021,04/06/2025,,ok,
250,Powerplant,P2+/T2+,"Make a simple statement to describe what the FADEC does and, ultimately, achieves?",The FADEC is digitally controls the engine to give the right power and speed to the rotor system.,06-80,Training Manual,Hidden,,0.8626097831875085,,21/06/2021,04/06/2025,,ok,fadec
251,Powerplant,P2+/T2+,Where are the FADECs located?,below the engine deck in the middle section of the fuselage between frame 5 and 6,06-80,Training Manual,Reveal,,0.0056655597873032,,27/06/2021,04/06/2025,,ok,fadec
252,Powerplant,P2+/T2+,List the specific functions of the FADEC,Automatic start of the enginesFuel supplyAutomatic engine control in all RPMM and power rangesMonitoring of engines and power parametersLimitation of fuel after topping parameters have been reachedOverspeed protectionTraining ModeCAT A / High NRTopping SelectionTorque MatchingFault Detection,06-80,Training Manual,Hidden,,0.16881510382518172,,27/06/2021,04/06/2025,,ok,fadec
253,Powerplant,P2+/T2+,When does the DC system supply electrical power to the FADEC?,During engine starting (up to 35-40% N1) or failure of the engine alternator/PMA,06-82,Training Manual,Hidden,,0.2844255599193275,,27/06/2021,04/06/2025,,ok,"electrical,fadec"
254,Powerplant,P2+/T2+,"On the ground, with engines not running, how is power supply to the FADEC achieved?",Via the DC essential busbars and with the switches on the engine control panel closed.,06-82,Training Manual,Reveal,,0.01341336499899625,,27/06/2021,04/06/2025,,ok,fadec
255,Powerplant,T2,"In flight, what would happen if a FADEC switch was opened on the Engine Control panel?",The FADEC would remain operative with the alternator supplying power - the FADEC would be disconnected from the DC system only and the caution REDUND would appear on the CPDS,06-82,Training Manual,Hidden,,0.9281330322846769,,27/06/2021,04/06/2025,,ok,fadec
256,Powerplant,P2+/T2+,When will the starter control relay disconnect the ignition circuit?,After attaining self-sustaining speed of 50% N1,06-84,Training Manual,Hidden,,0.3066492429934442,,27/06/2021,04/06/2025,,ok,
257,Powerplant,P2+/T2+,How can the engine be controlled manually?,By switching the overhead panel NORM/MAN switch to manual,06-86,Training Manual,Reveal,,0.04618054395541548,,27/06/2021,04/06/2025,,ok,
258,Powerplant,P2+/T2+,What N2 speed datum is set when the engine start switch is selected to FLIGHT?,The N2 speed datum is set to 100% under normal flight conditions,06-90,Training Manual,Hidden,,0.1278690043836832,,27/06/2021,04/06/2025,,ok,"electrical,fadec"
259,Powerplant,P2+/T2+,What N2 speed datum is automatically set between 4000' DA and 9000'?,104%,06-90,Training Manual,Reveal,,0.06837769877165556,,27/06/2021,04/06/2025,,ok,
260,Powerplant,P2+/T2+,Is the pilot able to adjust engine Torque?,Yes - with the ENG TRIM switch:L+ inc eng 1 and dec eng 2R+ Inc power eng 2 and decrease power eng 1,06-90,Training Manual,Hidden,,0.8034284319728613,,27/06/2021,04/06/2025,,ok,
261,Powerplant,P2+/T2+,Where are the ENG TRIM switch demands processed?,In the engine EEC/EECU,06-90,Training Manual,Hidden,,0.5013095545582473,,27/06/2021,04/06/2025,,ok,
262,Powerplant,P2+/T2+,"What device is used to compensate for Droop (ie, a momentary decrease in NR)?",An LVDT (linear transducer) sends a signal to the EEC/EECU to anticipate the power/fuel damand when collective is raised or the left pedal pushed.,06-90,Training Manual,Hidden,,0.6575398193672299,,27/06/2021,04/06/2025,,ok,
263,Powerplant,P2+/T2+,How many LVDTs are there?,2 - one for each engine - they are arranged such that collective and pedal input are superimposed to give a combined LVDT output. LVDT = Linear Variable Differential Transformer. The unit itself can be generically referred to as a 'transducer'.,06-90,Training Manual,Reveal,,0.03612336236983537,,27/06/2021,04/06/2025,,ok,
264,Powerplant,P2+/T2+,What features are available via the cross-talk capability of the EEC/EECU?,Manual ModeOEI SituationTraining Mode ActivationAutomatic bleed air shut-off during OEIAutomatic Torque matching,06-90,Training Manual,Hidden,,0.4945107689127326,,27/06/2021,04/06/2025,,ok,
265,Limitations,P2,What are the normal Power ON Nr limits?,97 - 104%,Card 28,FRCs P2,Hidden,,0.36401833826676006,,27/06/2021,04/06/2025,,ok,"frc,opc"
266,Limitations,P2,What are the power OFF Nr limits?,85 - 106%,Card 28,FRCs P2,Reveal,,0.01830330537632107,,27/06/2021,04/06/2025,,ok,"frc,opc"
267,Limitations,P2+/T2+,What are the upper and lower transient NR limits and for how long?,112 and 85 for 20 seconds112 = continuous tone and flashing light,Card 28,FRCs P2,Hidden,,0.29301883280277247,,27/06/2021,04/06/2025,,ok,"frc,opc"
268,Limitations,P2+/T2+,What is the AEO take off FLI and Tq limit?,FLI 1078% Tq(little tip for remembering transient figures - 'add 4' = Fli 10.4 and 82% Tq,Card 28,FRCs P2,Reveal,,0.534994475543499,,27/06/2021,14/06/2025,,ok,"fadec,frc,opc"
269,Limitations,P2+,What is the transient AEO limits and for how long?,FLI 10.482% Tq10 secondsunintended V - Vy only.,Card 28,FRCs P2,Hidden,,0.5266102710738778,,27/06/2021,04/06/2025,,ok,"frc,opc"
270,Limitations,P2+/T2+,What is the max continuous OEI FLI and Tq limits?,FLI 11Tq 89.5,Card 28,FRCs P2,Hidden,,0.9971427018754184,,27/06/2021,04/06/2025,,ok,"fadec,frc,opc"
271,Limitations,P2+/T2+,What is the 2 min power OEI limit? (FLI and Tq),FLI 13Tq 125%,Card 28,FRCs P2,Hidden,,0.5819387556985021,,27/06/2021,04/06/2025,,ok,"fadec,frc,opc"
272,Limitations,P2+/T2+,What is the 30 sec power OEI limit? (FLI and Tq),FLI 13.5Tq 128%,Card 28,FRCs P2,Hidden,,0.6698275725357234,,27/06/2021,04/06/2025,,ok,"fadec,frc,opc"
273,Limitations,P2+/T2+,What is the maximum all up mass?,2910kgs,Card 29,FRCs P2,Hidden,,0.7784539451822639,,27/06/2021,04/06/2025,,ok,"frc,opc"
274,Limitations,P2+/T2+,What is the total fuel capacity?,568 kg,Card 29,FRCs P2,Hidden,,0.5918211662210524,,27/06/2021,04/06/2025,,ok,"frc,fuel,opc"
275,Limitations,P2+/T2+,What is the unusable fuel?,7.6 kgs,Card 29,FRCs,Hidden,,0.13428805954754353,,27/06/2021,04/06/2025,,ok,"frc,fuel,opc"
276,Limitations,P2+/T2+,What is the Police MLA (day and night)?,70kg - Day90kg - NIght,Card 29,FRCs,Hidden,,0.24904665676876905,,27/06/2021,04/06/2025,,ok,"frc,opc"
277,Limitations,P2+/T2+,What mean fuel level does the FUEL LOW light illuminate?,24 kgs (26 / 22kgs),Card 29,FRCs P2,Hidden,,0.7957002329640089,,27/06/2021,04/06/2025,,ok,"frc,fuel,opc"
278,Powerplant,P2+/T2+,High NR mode will be deactivated above what speed and activated below what speed respectively?,Exceeding 55kts and automatically activated below 50 kts,06-92,Training Manual,Hidden,,0.8255202621221542,,27/06/2021,04/06/2025,,ok,
279,Powerplant,P2+/T2+,What is the maximum Tq delivery that the engine control system will allow?,133% Tq to protect the MGB in critical flight situations,06-98,Training Manual,Hidden,,0.9185424828901888,,27/06/2021,04/06/2025,,ok,
280,Powerplant,P2+/T2+,What is the normal Tq limit of the Tq limiter for the 30 sec rating?,128%,06-98,Training Manual,Hidden,,0.44316210271790624,,27/06/2021,04/06/2025,,ok,
281,Powerplant,T2+,At what N2 will the overspeed protection be activated?,114% +/- 1%N2 - the EECU then commands the shut-off valve to close which causes an engine to shut down.(This is slightly different to the P2),06-24,Training Manual,Hidden,,0.9572811829857528,,27/06/2021,04/06/2025,Yes,ok,
282,Powerplant,P2+,At what N2 will the overspeed protection activate and what does the activation initiate?,"The overspeed will be activated when N2 is greater than 112.9 %.The system reduces engine fuel flow in a controlled manner. As soon as the reset RPM is reached, the fuel flow returns to a standard fuel flow control. (In the T2 the engine is shutdown)",06-106,Training Manual,Hidden,,0.8676623771898448,,27/06/2021,04/06/2025,Yes,ok,
283,Differences,P2+/T2+,What are the respective engine pressure start (2 mins) limits?,P2+ = 0 - 13.8 barT2+ = 10 - 15 bar,Card 28 Rev,FRCs,Reveal,,0.774192766752094,,27/06/2021,04/06/2025,Yes,ok,"frc,opc"
284,Differences,P2+/T2+,What is the minimum engine oil pressure?,P2+ = 2.1 barT2+ = 1.3 bar,Card 28 Rev,FRCs,Reveal,,0.9451722288504243,,27/06/2021,04/06/2025,,ok,"frc,opc"
285,Differences,P2+/T2+,What is the continuous engine oil pressure?,P2+ = 4 to 8.5 barT2+ = 1.3 to 5 bar,Card 28 Rev,FRCs,Reveal,,0.7257612035609781,,27/06/2021,04/06/2025,,ok,"frc,opc"
286,Differences,P2+/T2+,What is the continuous engine oil temperature?,P2+ = 10 to 129.5 degT2+ = 10 to 110 deg,Card 28 Rev,FRCs,Reveal,Knowledge,0.5353746828623116,,27/06/2021,04/06/2025,Yes,ok,"frc,opc"
287,Differences,P2+/T2+,What is the engine oil pressure caution range?,P2+ = 2.1 to 4 barT2+ = 5 to 10 bar,Card 28 Rev,FRCs,Reveal,,0.1183563400991261,,27/06/2021,04/06/2025,Yes,ok,"frc,opc"
288,Differences,P2+/T2+,What is the max engine oil temperature and pressure?,P2+ = 13.8 bar and 129.5 degT2+ = 10 bar and and 110 deg,Card 28 Rev,FRCs,Reveal,,0.576883596368134,,27/06/2021,04/06/2025,,ok,"frc,opc"
289,Limitations,P2+/T2+,What is the maximum XMSN pressure and temperature?,10 bar and 120 deg,Card 28 Rev,FRCs,Hidden,,0.6342888316139579,,27/06/2021,04/06/2025,,ok,"frc,opc"
290,Powerplant,T2+,What are the 3 cockpit indications to inform the pilot that the FADEC is in a faulty condition?,"REDUND. Minor fault - loss of protection or secondary function eg, loss of 1 power supplyDEGRADE. Reduced engine performance - full N2 governing is maintainedFADEC FAIL. Total fail of the control system (frozen stepper motor. Fuel flow is now fixed - pilot can either leave it fixed or use the twist grip to modulate the fuel flow. See Question 291 for P differences",06-106,Training Manual,Hidden,Knowledge,0.7767399102449417,,28/06/2021,04/06/2025,Yes,ok,fadec
291,Powerplant,P2,What are the 2 cockpit indications to inform the pilot that the FADEC is in a faulty condition?,"FADEC MINR. A change or loss of governing functions. May result in degraded engine operating. Full N2 governing is maintainedFADEC FAILControl system is not operating. System reverts* to manual mode. The Tq motor in the Fuel Metering unit is inhibited ad fuel flow is fixed. Pilot then controls manually.*""Revert"" is from the manual - not sure if this implies some kind of automatic switching etcSee Question 290 for T differences",06-106,Training Manual,Hidden,,0.28765354165807366,,28/06/2021,04/06/2025,Yes,ok,fadec
292,SAS+Autopilot,P2+/T2+,During EC135 development what was the first development of stabilisation augmentation?,"Yaw - SA. Later, pitch and roll SAS systems and a pitch damper were installed",05-18,Training Manual,Hidden,,0.456112967338413,,28/06/2021,04/06/2025,,ok,"afcs,opc"
293,SAS+Autopilot,P2+/T2+,The SAS systems form a modular structure and of different technical design but they normally work together to create a system with how many axis?,A 3-axis SAS system,05-18,Training Manual,Hidden,,0.8869508039206265,,28/06/2021,04/06/2025,,ok,"afcs,opc"
294,SAS+Autopilot,P2+/T2+,What type of actuators does the SAS system employ?,"Series actuators - ie, in series with the pilots controls.",05-18,Training Manual,Hidden,,0.5461349762044847,,28/06/2021,04/06/2025,,ok,"afcs,opc"
295,SAS+Autopilot,P2+/T2+,What switches on the overhead panel need to be closed (tuned on) for the SAS to be active?,The 3-axis SAS system is fully operative if the inverter is active and avionic master switches are engaged.,05-18,Training Manual,Hidden,,0.9981725565157831,,28/06/2021,04/06/2025,,ok,"afcs,opc"
296,SAS+Autopilot,P2+/T2+,Name the generic items in the YAW SAS system for detection and actuation and the type of data system used?,"A Yaw FOG is used for detection, SEMA 1 for actuation and the data type is ARINC 429The Yaw Fog is in the tail boom between frame 7 and 8. The computation of the signals from the Fog is done by the SEMA. There is no device between. 04-78",05-18,Training Manual,Hidden,,0.4596695839427412,,28/06/2021,04/06/2025,,ok,"afcs,opc"
297,SAS+Autopilot,P2+/T2+,What type of actuators are used in the Pitch and Roll SAS system?,Electro Hydraulic Actuators (EHA) - commands are given by a Pitch and Roll SAS computer in analogue signals.,05-20,Training Manual,Hidden,,0.8085375619120896,,28/06/2021,04/06/2025,,ok,"afcs,opc"
298,SAS+Autopilot,P2+/T2+,Why does the AHRS system need to be able to generate analogue signals?,The P/R SAS computer is old technology - it's a legacy requirement from when rate gyros created analaogue signals. Therefore the AHRS1 creates analogue rate gyro signals if the inverter is switched on. (for input into the EHAs),05-20,Training Manual,Reveal,,0.08187677664682269,,28/06/2021,04/06/2025,,ok,"afcs,opc"
299,SAS+Autopilot,P2+/T2+,What aspect of the SAS system needs to be installed for dual pilot IFR certification?,An additional pitch damper in order to compensate for excessive pitch changes.,05-22,Training Manual,Hidden,,0.859837326221168,,28/06/2021,04/06/2025,,ok,"afcs,opc"
300,SAS+Autopilot,P2+/T2+,Name the basic components of the Pitch Damper SAS system?,Pitch FOG and Pitch SEMAThe Pitch SEMA sends limited control signals to the Pitch EHA (so there is some integration of the 'old system' with the 'new system'. A pitch runaway of the EHA will be sensed by the Pitch Damper and the situation recovered. The schematic design of the Pitch Damper is very similar to the Yaw SAS system,05-22,Training Manual,Hidden,Knowledge,0.33497818512842054,,28/06/2021,04/06/2025,,ok,"afcs,opc"
301,SAS+Autopilot,P2+/T2+,What problem/malfunction within the SAS system could the Pitch Damper delay/mitigate?,The pitch SEMA can also delay the effect of a (unlikely) runaway of the pitch EHA.,05-22,Training Manual,Hidden,,0.6592504153959453,,28/06/2021,04/06/2025,,ok,"afcs,opc"
302,SAS+Autopilot,P2+/T2+,What type of data control signals are transmitted to the PITCH damper SEMA from the PITCH Damper FOG?,ARINC 429,05-22,Training Manual,Hidden,,0.8018943369388579,,28/06/2021,04/06/2025,,ok,"afcs,opc"
303,SAS+Autopilot,P2+/T2+,What does the red button on the top left of the cyclic do?,All systems belonging to the SAS and AFCS are deactivated via this button.,05-24,Training Manual,Hidden,,0.34878386138007045,,28/06/2021,04/06/2025,,ok,"afcs,opc"
304,SAS+Autopilot,P2+/T2+,The EC135 AFCS consists of what 3 sub-systems?,3-axis SASPitch DamperAutopilot,05-26,Training Manual,Hidden,,0.3655313509516418,,28/06/2021,04/06/2025,,ok,"afcs,opc"
305,SAS+Autopilot,P2+/T2+,What 2 components does the AP consist of and what additional actuators are installed?,The Autopilot Module (APM 2000)and the Autopilot Mode Selector.For additional control authority and redundancy a roll SEMA and Yaw SEMA (2) are installed,05-26,Training Manual,Hidden,,0.1330222967080772,,28/06/2021,04/06/2025,,ok,"afcs,opc"
306,SAS+Autopilot,P2+/T2+,Name as many of the 13 services that the autopilot system provides?,- Digital SAS (AP SAS)- Auto Trim (A. Trim)- Heading Hold (HDG)- Altitude Hold (ALT)- Airspeed Hold (IAS)- Vertical Speed Hold (VIS)- Altitude Acquire (ALT.A)- VOR Navigation (NAV VOR)- Long Range Navigation (NAV NMS)- Localiser Mode (LOC)- VOR approach mode (APP VOR.A)- Glideslope (G/S)- Go Around mode (GA),05-26,Training Manual,Hidden,,0.9567904737778008,,28/06/2021,04/06/2025,,ok,"afcs,opc"
307,SAS+Autopilot,P2+/T2+,Where is the APM Located?,Integrated in the Pelican Rack on the avionics deck,05-30,Training Manual,Hidden,,0.1859469129703939,,28/06/2021,04/06/2025,,ok,"afcs,opc"
308,SAS+Autopilot,P2+/T2+,Where are the ADCs?,ADC 1/2 are installed respectively in the LH and RH channels of the helicopter (lower fuselage area),05-30,Training Manual,Hidden,,0.10554422438144684,,28/06/2021,04/06/2025,,ok,"afcs,opc"
309,SAS+Autopilot,P2+/T2+,Where is the pitch FOG?,Installed in the LH channel of the helicopter. Operates in the longitudinal axix and provides signals to the pitch damper SEMA,05-30,Training Manual,Hidden,Knowledge,0.8196732494980096,,28/06/2021,04/06/2025,,ok,"afcs,opc"
310,SAS+Autopilot,P2+/T2+,Where is the yaw fog?,"aft, upper section of the cargo compartment near to the rear attachment cone. It gives yaw rate signals to Yaw SEMA 1",05-30,Training Manual,Hidden,,0.5595163321122527,,28/06/2021,04/06/2025,,ok,"afcs,opc"
311,SAS+Autopilot,P2+/T2+,Where is the APMS?,The autopilot mode selector is integrated below the instrument panel in the slant console.,05-30,Training Manual,Reveal,,0.07583551760762929,,28/06/2021,04/06/2025,,ok,"afcs,opc"
312,SAS+Autopilot,P2+/T2+,Where is the Pitch & Roll SAS Computer?,LH side channel of the helicopter. It uses signals from AHRS 1 to compute the stabilising input signals for the EHA.,05-30,Training Manual,Hidden,,0.3451564498245716,,28/06/2021,04/06/2025,,ok,"afcs,opc"
